uri,prefLabel,definition,altLabel,id
http://vocab.nerc.ac.uk/collection/P01/current/SPMA387A/,Absorbance of electromagnetic radiation (387nm wavelength) {light absorbance} by the suspended particulate material >GF/F by filtration and spectrophotometry,Spectrophotometric scan on GF/F filtered material,SPMA387A,SDN:P01::SPMA387A
http://vocab.nerc.ac.uk/collection/P01/current/KXCNPEXX/,Concentration of potassium {K CAS 7440-09-7} per unit dry weight of suspended particulate material by sediment trapping and inductively-coupled plasma atomic emission spectroscopy,Unavailable,TrapMatKCont,SDN:P01::KXCNPEXX
http://vocab.nerc.ac.uk/collection/P01/current/MKKPP012/,Concentration of potassium {K CAS 7440-09-7} per unit dry weight of suspended particulate material,Concentration of elemental potassium per unit mass of solid material suspended in the water column,SPM_K,SDN:P01::MKKPP012
http://vocab.nerc.ac.uk/collection/P01/current/PCBSD157/,"Concentration of 2,2',3,5,5',6-hexachlorobiphenyl {PCB151 CAS 52663-63-5} per unit dry weight of sediment by gas chromatography-electron capture detection",Unavailable,PCBSD157,SDN:P01::PCBSD157
http://vocab.nerc.ac.uk/collection/P01/current/PCBSD018/,"Concentration of 2,2',3,5,5',6-hexachlorobiphenyl {PCB151 CAS 52663-63-5} per unit dry weight of sediment",Unavailable,PCBSD018,SDN:P01::PCBSD018
http://vocab.nerc.ac.uk/collection/P01/current/ARPBAP15/,Atomic ratio standard deviation of lead-208/lead-207 {208Pb/207Pb} in the atmosphere [aerosol phase],The square root of the average of the squares of deviations about the mean of a set of values of the specified measurement.,208Pb/207Pb_aerosol_SD,SDN:P01::ARPBAP15
http://vocab.nerc.ac.uk/collection/P01/current/MA3A5A37/,Count of Asteroidea (ITIS: 156862: WoRMS 123080) [Size: diameter ~5cm Colour: white Subgroup: burrowing] on the bed by image analysis,Burrowing white asteroid partially covered in photographs,Count_BE006284,SDN:P01::MA3A5A37
http://vocab.nerc.ac.uk/collection/P01/current/AEC020SD/,"Concentration standard deviation of soluble thorium {soluble_Th CAS 7440-29-1} per unit volume of the atmosphere [aerosol >1um phase] by filtration, leaching with pH 4.7 ammonium acetate buffer",The square root of the average of the squares of deviations about the mean of a set of values of the specified measurement.,soluble_Th_aerosol_NH4AC_Leaching_>1um_SD,SDN:P01::AEC020SD
http://vocab.nerc.ac.uk/collection/P01/current/PCBSD069/,"Concentration of 2,3',4',5-tetrachlorobiphenyl {PCB70 CAS 32598-11-1} per unit dry weight of sediment by gas chromatography",Unavailable,PCBSD069,SDN:P01::PCBSD069
http://vocab.nerc.ac.uk/collection/P01/current/PCBSD025/,"Concentration of 2,3',4',5-tetrachlorobiphenyl {PCB70 CAS 32598-11-1} per unit dry weight of sediment",Unavailable,PCBSD025,SDN:P01::PCBSD025
http://vocab.nerc.ac.uk/collection/P01/current/MLBCM006/,Concentration of arsenic {As CAS 7440-38-2} per unit dry weight of biota {Pleuronectes platessa (ITIS: 172902: WoRMS 127143) [Subcomponent: liver]},The amount (mass or number of moles) of the specified analyte per unit weight of the specified organism or part thereof after water has been removed.,DryWtAs_BE006630,SDN:P01::MLBCM006
http://vocab.nerc.ac.uk/collection/P01/current/CNI02021/,"Concentration of nickel {Ni CAS 7440-02-0} per unit volume of the water body [particulate 0.2-20um phase] by filtration, acid digestion and inductively-coupled plasma mass spectrometry",The amount (mass or mole) in a unit volume of any fresh of salt water body of the specified element extracted by total strong acid dissolution from suspended particles passing through a 20 micron filter but retained by a 0.2 micron filter.,Conc_Ni_water_>0.2-20um,SDN:P01::CNI02021
http://vocab.nerc.ac.uk/collection/P01/current/AHBDM202/,Ash-free dry weight biomass of Ischnura elegans per unit area of the bed by identification by optical microscopy and gravimetric determination of loss on ignition,Unavailable,AHBDM202,SDN:P01::AHBDM202
http://vocab.nerc.ac.uk/collection/P01/current/IC001641/,Concentration of benzo(a)pyrene {CAS 50-32-8} per unit wet weight of biota {Cerastoderma edule (ITIS: 80901: WoRMS 138998) [Subcomponent: flesh]},The wet weight concentration of the specified analyte in the specified organism or part thereof.,WetWt_BAP_SB_BE006783,SDN:P01::IC001641
http://vocab.nerc.ac.uk/collection/P01/current/RWS00094/,Concentration of fenthion {CAS 55-38-9} per unit volume of the water body [dissolved plus reactive particulate phase],Quantity or mass of the specified substance measured in a specified volume of an unfiltered sample from any body of fresh or salt water.,Diss_CAS55-38-9_Unfilt,SDN:P01::RWS00094
http://vocab.nerc.ac.uk/collection/P01/current/Z362M00K/,Abundance of Mormonilla (ITIS: 86104: WoRMS 119816) [Stage: copepodite+adult] per unit volume of the water body by optical microscopy,Unavailable,Z362M00K,SDN:P01::Z362M00K
http://vocab.nerc.ac.uk/collection/P01/current/SWLA290A/,Absorbance of electromagnetic radiation (290nm wavelength) {light absorbance} by the water body [dissolved plus reactive particulate <0.2um phase] by filtration and spectrophotometry,The proportion of the incident light of the specified wavelength that is absorbed by a sample from any body of fresh or salt water that has been filtered through a 0.2um pore filter.,SWLA290A,SDN:P01::SWLA290A
http://vocab.nerc.ac.uk/collection/P01/current/AHBDM114/,Ash-free dry weight biomass of Ebalia cranchi (ITIS: 98384) per unit area of the bed by identification by optical microscopy and gravimetric determination of loss on ignition,Unavailable,AHBDM114,SDN:P01::AHBDM114
http://vocab.nerc.ac.uk/collection/P01/current/IC001553/,Concentration of copper {Cu CAS 7440-50-8} per unit wet weight of biota {Glyptocephalus cynoglossus (ITIS: 172873: WoRMS 127136) [Subcomponent: muscle tissue]},The wet weight concentration of the specified analyte in the specified organism or part thereof.,WetWt_CU_MU_BE007522,SDN:P01::IC001553
http://vocab.nerc.ac.uk/collection/P01/current/CQUINA01/,Concentration of quinalphos {CAS 13593-03-8} per unit volume of the water body [dissolved plus reactive particulate phase],The amount (quantity or mass) of the specified analyte measured in a specified volume of an unfiltered sample from any body of fresh or salt water.,Diss_13593-03-8_Unfilt,SDN:P01::CQUINA01
http://vocab.nerc.ac.uk/collection/P01/current/LGCOCVDX/,Concentration of cobalt-complexing organic ligands {Co_org_ligands} per unit volume of the water body [dissolved plus reactive particulate <0.2um phase] by filtration and cathodic stripping voltammetry,The organic cobalt-binding ligand concentrations (L).,Co-compLig_0.2umFilt,SDN:P01::LGCOCVDX
http://vocab.nerc.ac.uk/collection/P01/current/ABSP703A/,Absorbance of electromagnetic radiation (703nm wavelength) {light absorbance} by the water body [dissolved plus reactive particulate phase] by spectrophotometry,Unavailable,WaterAbs_703nm_unfiltered,SDN:P01::ABSP703A
http://vocab.nerc.ac.uk/collection/P01/current/AHBDM026/,Ash-free dry weight biomass of Arrenurus globator per unit area of the bed by identification by optical microscopy and gravimetric determination of loss on ignition,Unavailable,AHBDM026,SDN:P01::AHBDM026
http://vocab.nerc.ac.uk/collection/P01/current/BNMETHY5/,Concentration of N-methyl perfluorooctane sulfonamidoacetic acid {NMeFOSAA CAS 2355-31-9} per unit dry weight of sediment <2000um by wet sieving and liquid chromatography-high resolution mass spectrometry,The quantity or mass of the specified analyte contained in a subsample of wet sediment that passes through a 2000 micron sieve and analysed by the specified method. The measurement is then reported on a dry weight basis.,Conc_CAS2355-31-9_drysed<2000um_ws_lchrms,SDN:P01::BNMETHY5
http://vocab.nerc.ac.uk/collection/P01/current/APL07984/,Abundance of Pleurochrysis / Syracosphaera histrica (ITIS: 2224: WoRMS 235825) [Subcomponent: coccoliths] per unit volume of the water body by identification and counting by scanning electron microscopy (SEM),The number of detached liths in a unit volume of any samples of fresh or salt water body identified as belonging to the named coccolithophorid organism and counted by scanning electron microscopy.,Abund_BE007984_SEM,SDN:P01::APL07984
http://vocab.nerc.ac.uk/collection/P01/current/IC001465/,"Concentration of 3,3',4,4',5-pentachlorobiphenyl {PCB126 CAS 57465-28-8} per unit wet weight of biota {Ostrea edulis (ITIS: 79885: WoRMS 140658) [Subcomponent: flesh]}",The wet weight concentration of the specified analyte in the specified organism or part thereof.,WetWt_CB126_SB_BE007123,SDN:P01::IC001465
http://vocab.nerc.ac.uk/collection/P01/current/IC001377/,Concentration of 2-methylnaphthalene {CAS 91-57-6} per unit wet weight of biota {Crassostrea gigas (ITIS: 79868: WoRMS 140656) [Subcomponent: flesh]},The wet weight concentration of the specified analyte in the specified organism or part thereof.,WetWt_NAP2M_SB_BE006624,SDN:P01::IC001377
http://vocab.nerc.ac.uk/collection/P01/current/Z303X00C/,Abundance of Paraeuchaeta (ITIS: 610024: WoRMS 196874) [Size: 500-1000um] per unit volume of the water body by size fractionation and optical microscopy,Unavailable,Z303M00Z_500-1000um,SDN:P01::Z303X00C
http://vocab.nerc.ac.uk/collection/P01/current/CF0043CG/,Concentration of benzo(j)fluoranthene {CAS 205-82-3} per unit wet weight of biota {Crassostrea gigas (ITIS: 79868: WoRMS 140656) [Subcomponent: flesh]},The wet weight concentration of the specified analyte in the specified organism or part thereof.,WetWt_CAS205-82-3_BE006624,SDN:P01::CF0043CG
http://vocab.nerc.ac.uk/collection/P01/current/FECNAAWF/,"Concentration of total iron {total_Fe CAS 7439-89-6} per unit dry weight of sediment <63um by wet sieving, acid digestion and atomic absorption spectroscopy",The quantity or mass of the specified analyte contained in a dried subsample of sediment that passes through a 63 micron sieve.,FineSedFeCont,SDN:P01::FECNAAWF
http://vocab.nerc.ac.uk/collection/P01/current/RWSSED38/,Concentration of total iron {total_Fe CAS 7439-89-6} per unit dry weight of sediment <63um,The quantity or mass of the specified analyte contained in a dried subsample of sediment that passes through a 63 micron sieve.,Fe_sed<63um,SDN:P01::RWSSED38
http://vocab.nerc.ac.uk/collection/P01/current/K0B79410/,Count (in assayed sample) of Meganyctiphanes norvegica (ITIS: 95534: WoRMS 110690) [Stage: adult Sex: male],Unavailable,Numb_BE006034,SDN:P01::K0B79410
http://vocab.nerc.ac.uk/collection/P01/current/B1299181/,Concentration of bromoacetic acid {C2H3BrO2 CAS 79-08-3} per unit wet weight of biota {Ruditapes philippinarum (WoRMS 231750) [Subcomponent: flesh]},The wet weight concentration of the specified analyte in the specified organism or part thereof.,WetWt_CAS79-08-3_BE009181,SDN:P01::B1299181
http://vocab.nerc.ac.uk/collection/P01/current/E2898515/,Count of Chronrocladia on the bed by image analysis,Unavailable,Count_BE006190,SDN:P01::E2898515
http://vocab.nerc.ac.uk/collection/P01/current/IC001289/,"Concentration of 2,3',4,4',5-pentachlorobiphenyl {PCB118 CAS 31508-00-6} per unit wet weight of biota {Crangon crangon (ITIS: 97118: WoRMS 107552) [Subcomponent: muscle tissue]}",The wet weight concentration of the specified analyte in the specified organism or part thereof.,WetWt_CB118_TM_BE007110,SDN:P01::IC001289
http://vocab.nerc.ac.uk/collection/P01/current/PIGA680A/,Absorbance of electromagnetic radiation (680nm wavelength) {light absorbance} by the suspended particulate material >GF/F [pigment phase] by filtration and spectrophotometry on residue before and after methanol pigment extraction and differencing of the measurements,Diff. of spectrophotometric spectra on GF/F filterered material pre and post methanol extraction,PigAbs680,SDN:P01::PIGA680A
http://vocab.nerc.ac.uk/collection/P01/current/FACFEM07/,Mass of cis-11-hexadecenoic acid per individual specimen of biota {Calanus finmarchicus (ITIS: 85272: WoRMS 104464) [Sex: female]} by gas chromatography-electron capture detection,Unavailable,16:1(n-5)__CalFinF_inc,SDN:P01::FACFEM07
http://vocab.nerc.ac.uk/collection/P01/current/FRANSHE6/,Concentration of trans-heptachlor epoxide {CAS 28044-83-9} per unit wet weight of biota {Clupea harengus (ITIS: 161722: WoRMS 126417) [Subcomponent: muscle tissue]},The wet weight concentration of the specified analyte in the specified organism or part thereof.,WetWt28044-83-9_BE006620,SDN:P01::FRANSHE6
http://vocab.nerc.ac.uk/collection/P01/current/CQLBDE35/,"Concentration of 3,3',4-tribromodiphenyl ether {BDE35 CAS 147217-80-9} per unit mass of lipids in the biota {Phoca vitulina (ITIS: 180649: WoRMS 137084) [Stage: adult Sex: male Subcomponent: blubber Subgroup: alive]} by Soxhlet extraction and gas chromatography-mass spectrometry and lipid normalisation (wet weight cct/lipid proportion)",The concentration of the specified analyte in the specified organism or part thereof divided by the concentration of extractable lipids in the same sample.,LNC_BDE35_BE006484,SDN:P01::CQLBDE35
http://vocab.nerc.ac.uk/collection/P01/current/IC220821/,"Concentration of 4,4'-dichlorodiphenyltrichloroethane {p,p'-DDT CAS 50-29-3} per unit wet weight of biota {Cancer pagurus (WoRMS 107276) [Subcomponent: white muscle tissue]}",The wet weight concentration of the specified analyte in the specified organism or part thereof.,WetWt_DDTPP_WM_BE009727,SDN:P01::IC220821
http://vocab.nerc.ac.uk/collection/P01/current/MSBCMITX/,Biomass as carbon of mesozooplankton per unit volume of the water body by optical microscopy and computation of carbon biomass from abundance,Calculated from cell counts determined by optical microscopy,TotMeszMassC,SDN:P01::MSBCMITX
http://vocab.nerc.ac.uk/collection/P01/current/NAB1A607/,Biomass as carbon of Parundella (WoRMS 345911) [Size: >100um Subgroup: sp. 1] per unit volume of the water body by optical microscopy and computation of carbon biomass from abundance using the equation of Putt and Stoecker (1989),Unavailable,NAB1A607,SDN:P01::NAB1A607
http://vocab.nerc.ac.uk/collection/P01/current/PRPCL217/,Proportion by volume of particles (2000-2380um) in the sediment,The volume (normalised by total sample volume) of sediment sample particles with a nominal diameter between 2000 and 2380 microns,PrSedByVolSiz_2000-2380um,SDN:P01::PRPCL217
http://vocab.nerc.ac.uk/collection/P01/current/IC220733/,"Concentration of 2,2',3,3',4,4',5,5',6-nonabromodiphenyl ether {BDE206 CAS 63387-28-0} per unit wet weight of biota {Micromesistius poutassou (ITIS: 164774: WoRMS 126439) [Subcomponent: muscle tissue]}",The wet weight concentration of the specified analyte in the specified organism or part thereof.,WetWt_BD206_MU_BE007545,SDN:P01::IC220733
http://vocab.nerc.ac.uk/collection/P01/current/SCOXGCXX/,Saturation of carbon monoxide {CO CAS 630-08-0} in the water body [dissolved plus reactive particulate phase] by computation from concentration,"Computed from dissolved CO, temperature and salinity",COSat,SDN:P01::SCOXGCXX
http://vocab.nerc.ac.uk/collection/P01/current/IC221299/,"Concentration of Parlar 26 (2-endo,3-exo,5-endo,6-exo,8,8,10,10 octachlorobornane) {CAS 142534-71-2} per unit wet weight of biota {Merluccius merluccius (ITIS: 164795: WoRMS 126484) [Subcomponent: muscle tissue]}",The wet weight concentration of the specified analyte in the specified organism or part thereof.,WetWt_PCC26_MU_BE007543,SDN:P01::IC221299
http://vocab.nerc.ac.uk/collection/P01/current/IC220645/,Concentration of cis-heptachlor epoxide {CAS 1024-57-3} per unit dry weight of biota {Perca fluviatilis (ITIS: 168470: WoRMS 151353) [Subcomponent: muscle tissue]},The dry weight concentration of the specified analyte in the specified organism or part thereof.,DryWt_HCEPC_MU_BE007133,SDN:P01::IC220645
http://vocab.nerc.ac.uk/collection/P01/current/SESRLDPJ/,Net production rate standard error of oxygen {O2 CAS 7782-44-7} per unit time per unit volume of the water body [particulate <200um phase] by light and dark bottle incubation,The standard error of the mean (defined as the standard deviation divided by the square root of the sample size) of multiple determinations of the specified phenomenon.,Resp_SE_<200um,SDN:P01::SESRLDPJ
http://vocab.nerc.ac.uk/collection/P01/current/IC220557/,"Concentration of Parlar 50 (2-endo,3-exo,5-endo,6-exo,8,8,9,10,10 nonachlorobornane) {CAS 66860-80-8} per unit wet weight of biota {Psetta maxima (ITIS: 616195: WoRMS 154473) [Subcomponent: muscle tissue]}",The wet weight concentration of the specified analyte in the specified organism or part thereof.,WetWt_PCC50_MU_BE008604,SDN:P01::IC220557
http://vocab.nerc.ac.uk/collection/P01/current/Z309M01H/,Abundance of Neocalanus gracilis (ITIS: 85283: WoRMS 104471) [Stage: adult Sex: female] per unit volume of the water body by optical microscopy,Note that adult and C6 mean exactly the same thing for Copepods,Z309M01H,SDN:P01::Z309M01H
http://vocab.nerc.ac.uk/collection/P01/current/NPUPREP4/,"Uptake rate of phosphate {PO43- CAS 14265-44-2} per hour per unit volume of the water body [particulate >0.2um phase] by tracer doping, incubation at 530uE/m2/s light level, cascade filtration and counting residue and summation of size-fractionated values",Measurements made by radiotracer doped constant light incubation at 530 uE/m2/s followed by counting particulates collected on each filter of a filter cascade down to a 0.2um pore filter.  Rate normalised by dividing the total uptake by the incubation duration in hours. Total value obtained by summing size-fractionated data.,NPUp_>0.2um_530uE,SDN:P01::NPUPREP4
http://vocab.nerc.ac.uk/collection/P01/current/IC220469/,"Concentration of 2,4'-dichlorodiphenyldichloroethylene {o,p'-DDE CAS 3424-82-6} per unit dry weight of biota {Dreissena polymorpha (ITIS: 81339: WoRMS 181566) [Subcomponent: flesh]}",The dry weight concentration of the specified analyte in the specified organism or part thereof.,DryWt_DDEOP_SB_BE006782,SDN:P01::IC220469
http://vocab.nerc.ac.uk/collection/P01/current/IC000900/,"Concentration of 2,2',4,4',5,5'-hexachlorobiphenyl {PCB153 CAS 35065-27-1} per unit wet weight of biota {Hippoglossoides platessoides (ITIS: 172877: WoRMS 127137) [Subcomponent: liver]}",The wet weight concentration of the specified analyte in the specified organism or part thereof.,WetWt_CB153_LI_BE007524,SDN:P01::IC000900
http://vocab.nerc.ac.uk/collection/P01/current/WWB01453/,Wet weight biomass of Copepoda (ITIS: 85257: WoRMS 1080) per unit area of the bed by gravimetry,The total fresh mass of specimens of the specified biological entity observed in a given area of the floor of any body of water.,WetWtBiom_BE001453,SDN:P01::WWB01453
http://vocab.nerc.ac.uk/collection/P01/current/SWLA359A/,Absorbance of electromagnetic radiation (359nm wavelength) {light absorbance} by the water body [dissolved plus reactive particulate <0.2um phase] by filtration and spectrophotometry,The proportion of the incident light of the specified wavelength that is absorbed by a sample from any body of fresh or salt water that has been filtered through a 0.2um pore filter.,SWLA359A,SDN:P01::SWLA359A
http://vocab.nerc.ac.uk/collection/P01/current/IC000812/,"Concentration of 2,4,4'-tribromodiphenyl ether {BDE28 CAS 41318-75-6} per unit wet weight of biota {Crassostrea gigas (ITIS: 79868: WoRMS 140656) [Subcomponent: flesh]}",The wet weight concentration of the specified analyte in the specified organism or part thereof.,WetWt_BDE28_SB_BE006624,SDN:P01::IC000812
http://vocab.nerc.ac.uk/collection/P01/current/IC000724/,Concentration of beta-hexachlorocyclohexane {beta-HCH CAS 319-85-7} per unit wet weight of biota {Cerastoderma edule (ITIS: 80901: WoRMS 138998) [Subcomponent: flesh]},The wet weight concentration of the specified analyte in the specified organism or part thereof.,WetWt_HCHB_SB_BE006783,SDN:P01::IC000724
http://vocab.nerc.ac.uk/collection/P01/current/NPDXSRBS/,"Proportion with dextral coiling of Neogloboquadrina pachyderma (WoRMS 113458) [Subcomponent: tests] in sediment >150um by variable volume sampling, sieving, picking and optical microscopy",Hand picking from >150 micron fraction (shipboard: variable sample size),NeoPachyDextt_var,SDN:P01::NPDXSRBS
http://vocab.nerc.ac.uk/collection/P01/current/GTZAMDW1/,Spectral period (Tdw1) of waves on the water body by waverider,"Computed from spectral moments using the formula (m[-1,2]/m0)**(1/2)",spectral_period_Tdw1,SDN:P01::GTZAMDW1
http://vocab.nerc.ac.uk/collection/P01/current/PERDXXXX/,Concentration of peridinin {CAS 33281-81-1} per unit volume of the water body,Concentration of the carotenoid pigment peridinin per unit volume of a water body.  The pigment is contained in suspended particles of unspecified size.,Peridinin,SDN:P01::PERDXXXX
http://vocab.nerc.ac.uk/collection/P01/current/IC000636/,Concentration of 1-methylnaphthalene {CAS 90-12-0} per unit wet weight of biota {Ostrea edulis (ITIS: 79885: WoRMS 140658) [Subcomponent: flesh]},The wet weight concentration of the specified analyte in the specified organism or part thereof.,WetWt_NAP1M_SB_BE007123,SDN:P01::IC000636
http://vocab.nerc.ac.uk/collection/P01/current/RROCYST8/,Concentration of microcystin LW {CAS 157622-02-01} per unit wet weight of biota {Donax trunculus (WoRMS 139602) [Subcomponent: hepatopancreas]},The wet weight concentration of the specified analyte in the specified organism or part thereof.,WetWt_CAS157622-02-01_BE010303,SDN:P01::RROCYST8
http://vocab.nerc.ac.uk/collection/P01/current/IC000548/,Concentration of copper {Cu CAS 7440-50-8} per unit wet weight of biota {Bathysaurus ferox (ITIS: 162782: WoRMS 126369) [Subcomponent: gonads]},The wet weight concentration of the specified analyte in the specified organism or part thereof.,WetWt_CU_GO_BE007638,SDN:P01::IC000548
http://vocab.nerc.ac.uk/collection/P01/current/PNFXMIST/,Sedimentation flux of Stauroneis (ITIS: 4127: WoRMS 149077) per unit time per unit area of the water body by sediment trapping and optical microscopy,Unavailable,StauroFluxD,SDN:P01::PNFXMIST
http://vocab.nerc.ac.uk/collection/P01/current/W7409109/,Abundance of Ceratium furca (ITIS: 10399: WoRMS 109950) per unit volume of experiment water sample by optical microscopy,Unavailable,Abund(inc)_BE000963,SDN:P01::W7409109
http://vocab.nerc.ac.uk/collection/P01/current/ALONAT01/,Longitude east by acoustic triangulation from sonar moorings,Acoustic triangulation from sonar moorings,LonAccTriang,SDN:P01::ALONAT01
http://vocab.nerc.ac.uk/collection/P01/current/ALONZZ01/,Longitude east,Unavailable,Lon,SDN:P01::ALONZZ01
http://vocab.nerc.ac.uk/collection/P01/current/LOTAPLE1/,Concentration of perfluorobutanesulfonic acid {C4HF9O3S CAS 375-73-5} per unit wet weight of biota {Pleuronectes platessa (ITIS: 172902: WoRMS 127143) [Subcomponent: liver]},The wet weight concentration of the specified analyte in the specified organism or part thereof.,WetWt_CAS375-73-5_BE006630,SDN:P01::LOTAPLE1
http://vocab.nerc.ac.uk/collection/P01/current/CCLANLI1/,Concentration of 2-chloroaniline {CAS 95-51-2} per unit volume of the water body [dissolved plus reactive particulate phase],The amount (quantity or mass) of the specified analyte measured in a specified volume of an unfiltered sample from any body of fresh or salt water.,Diss_95-51-2_Unfilt,SDN:P01::CCLANLI1
http://vocab.nerc.ac.uk/collection/P01/current/C424M00B/,Biomass as carbon of Dictyocha (ITIS: 1804: WoRMS 157258) [Size: medium] per unit volume of the water body by optical microscopy and computation of carbon biomass from abundance,Unavailable,Carb_C424M00B,SDN:P01::C424M00B
http://vocab.nerc.ac.uk/collection/P01/current/PCBSD194/,"Concentration of 2,2’,3-trichlorobiphenyl {PCB16 CAS 38444-78-9} per unit dry weight of sediment",The quantity or mass of the specified analyte contained in a sample of unsieved sediment normalised to a unit of dry weight.,Conc_CAS38444-78-9_drysed,SDN:P01::PCBSD194
http://vocab.nerc.ac.uk/collection/P01/current/AFLGM016/,Concentration of monophenyltin {MPT CAS 2406-68-0} per unit dry weight of suspended particulate material,Unavailable,AFLGM016,SDN:P01::AFLGM016
http://vocab.nerc.ac.uk/collection/P01/current/AFLGM022/,Concentration of monophenyltin {MPT CAS 2406-68-0} per unit dry weight of suspended particulate material by gas chromatography-atomic emission detection and normalisation to organic carbon and lutum content (RIKZ 'standard sediment'),Unavailable,AFLGM022,SDN:P01::AFLGM022
http://vocab.nerc.ac.uk/collection/P01/current/MUSCCSND/,Proportion of muscovite in sediment 140-250um [light fraction phase] by separation in bromoform and optical microscopy,Unavailable,muscovite_sed0.14-0.25mm,SDN:P01::MUSCCSND
http://vocab.nerc.ac.uk/collection/P01/current/N899S98L/,Abundance of Tellina tenuis (ITIS: 81122: WoRMS 141595) per unit area of the bed by sieving and picking under an optical microscope,Unavailable,N899S98L,SDN:P01::N899S98L
