uri,prefLabel,definition,altLabel,id
http://vocab.nerc.ac.uk/collection/P01/current/NATOXIN6/,Concentration of pteriatoxin B per unit wet weight of biota {Mytilus edulis (ITIS: 79454: WoRMS 140480) [Subcomponent: flesh]},The wet weight concentration of the specified analyte in the specified organism or part thereof.,WetWt_pter_toxB_BE006336,SDN:P01::NATOXIN6
http://vocab.nerc.ac.uk/collection/P01/current/FNSKVC01/,Abundance of Thalassiosira (ITIS: 2484: WoRMS 148912) per unit volume of the water body by filtration and identification and counting by scanning electron microscopy (SEM),Number of individuals of the specified biological entity identified and counted using scanning electron microscopy and normalised to a unit volume of water sample.,Abund_BE005539_SEM,SDN:P01::FNSKVC01
http://vocab.nerc.ac.uk/collection/P01/current/DIATSDP1/,"Concentration standard deviation of diatoxanthin {CAS 31063-73-7} per unit volume of the water body [particulate >GF/F phase] by filtration, acetone extraction and high performance liquid chromatography (HPLC)",The square root of the average of the squares of deviations about the mean of a set of values of the specified measurement.,diatoxanthin_water>GF/F_SD_HPLC,SDN:P01::DIATSDP1
http://vocab.nerc.ac.uk/collection/P01/current/PCONCS01/,Electrical conductivity of the water body,This is an obsolete term for this definition. Use CNDCZZ01 instead.,UspCon,SDN:P01::PCONCS01
http://vocab.nerc.ac.uk/collection/P01/current/CNDCZZ01/,Electrical conductivity of the water body,This is the preferred term for this definition.  Alternative codes (PCONCS01 and PCONZZ01) are undesired duplicates from BODC history and should not be used.,Cond,SDN:P01::CNDCZZ01
http://vocab.nerc.ac.uk/collection/P01/current/CF028WPM/,Concentration of oxychlordane {CAS 27304-13-8} per unit wet weight of biota {Pecten maximus (ITIS: 79683: WoRMS 140712) [Subcomponent: flesh]},The wet weight concentration of the specified analyte in the specified organism or part thereof.,WetWt_CAS27304-13-8_BE007028,SDN:P01::CF028WPM
http://vocab.nerc.ac.uk/collection/P01/current/HEAVMX01/,Maximum vertical displacement (10-minute period) of measurement platform {heave} by accelerometer,Unavailable,10_minute_max_heave,SDN:P01::HEAVMX01
http://vocab.nerc.ac.uk/collection/P01/current/ASLVACDR/,Surface elevation relative to UK Admiralty Chart Datum of the water body by radar water level recorder,Height of the sea surface relative to the low water plane specified by UK Admiralty. This approximates to Lowest Astonomical Tide but the two are not exactly the same in some geographical areas.,SL_UKACD_radar,SDN:P01::ASLVACDR
http://vocab.nerc.ac.uk/collection/P01/current/DMYHVP01/,Abundance of Chaetoceros dichaeta (ITIS: 2796: WoRMS 178215) per unit volume of the water body by filtration and identification and counting by scanning electron microscopy (SEM),Number of individuals of the specified biological entity identified and counted using scanning electron microscopy and normalised to a unit volume of water sample.,Abund_BE001054_SEM,SDN:P01::DMYHVP01
http://vocab.nerc.ac.uk/collection/P01/current/ZU00C00C/,Abundance of zooplankton [Size: 1000-2000um] per unit volume of the water body by optical plankton counter,Unavailable,UZoo1000-2000,SDN:P01::ZU00C00C
http://vocab.nerc.ac.uk/collection/P01/current/B0889181/,Concentration of dichloroacetonitrile {CAS 3018-12-0} per unit wet weight of biota {Ruditapes philippinarum (WoRMS 231750) [Subcomponent: flesh]},The wet weight concentration of the specified analyte in the specified organism or part thereof.,WetWt_CAS3018-12-0_BE009181,SDN:P01::B0889181
http://vocab.nerc.ac.uk/collection/P01/current/MAJO0032/,Proportion of sodium (expressed as sodium oxide) {Na_as_Na2O CAS 7440-23-5} per unit weight of geological sample,Unavailable,Na2O_geosamp,SDN:P01::MAJO0032
http://vocab.nerc.ac.uk/collection/P01/current/Z295M18Z/,Abundance of Conchoecia fowleri (ITIS: 684572) per unit volume of the water body by optical microscopy,Unavailable,Z295M18Z,SDN:P01::Z295M18Z
http://vocab.nerc.ac.uk/collection/P01/current/CB118SBD/,"Concentration of 2,3',4,4',5-pentachlorobiphenyl {PCB118 CAS 31508-00-6} per unit dry weight of sediment <2000um",The quantity or mass of the specified analyte contained in a dried subsample of sediment that passes through a 2000 micron sieve.,PCB118_sed<2000um,SDN:P01::CB118SBD
http://vocab.nerc.ac.uk/collection/P01/current/K3128495/,Abundance of Euphausiidae (ITIS: 95500: WoRMS 110671) [Stage: calyptopis] per unit volume of the water body by optical microscopy,Unavailable,K3128495,SDN:P01::K3128495
http://vocab.nerc.ac.uk/collection/P01/current/FROLI2E1/,Concentration of spirolide-d {CAS 170713-73-2} per unit wet weight of biota {Glycymeris glycymeris (ITIS: 79429: WoRMS 140025) [Subcomponent: hepatopancreas]},The wet weight concentration of the specified analyte in the specified organism or part thereof.,WetWt_CAS170713-73-2_BE010306,SDN:P01::FROLI2E1
http://vocab.nerc.ac.uk/collection/P01/current/P030M63Z/,Abundance of Chaetoceros willei (ITIS: 2836: WoRMS 156625) per unit volume of the water body by optical microscopy,Unavailable,P03063,SDN:P01::P030M63Z
